Student_ID,Study_Hours_Per_Week,Monthly_Test_Score
1,2,30
2,3,32
3,4,35
4,5,37
5,6,40
6,7,42
7,8,44
8,9,46
9,10,48
10,11,50
11,12,52
12,13,54
13,14,56
14,15,58
15,16,60
16,17,62
17,18,64
18,19,66
19,20,68
20,21,70
21,22,72
22,23,74
23,24,76
24,25,78
25,26,80
26,27,81
27,28,82
28,29,83
29,30,84
30,31,85
31,32,86
32,33,87
33,34,88
34,35,89
35,36,90
36,37,91
37,38,92
38,39,93
39,40,94
40,41,95
41,42,96
42,43,97
43,44,98
44,45,99
45,46,100
46,5,39
47,6,41
48,7,43
49,8,45
50,9,47
51,10,49
52,11,51
53,12,53
54,13,55
55,14,57
56,15,59
57,16,61
58,17,63
59,18,65
60,19,67
61,20,69
62,21,71
63,22,73
64,23,75
65,24,77
66,25,79
67,26,81
68,27,82
69,28,83
70,29,84
71,30,85
72,31,86
73,32,87
74,33,88
75,34,89
76,35,90
77,36,91
78,37,92
79,38,93
80,39,94
81,40,95
82,41,96
83,42,97
84,43,98
85,44,99
86,45,100
87,4,34
88,6,39
89,8,44
90,10,49
91,12,54
92,14,59
93,16,64
94,18,69
95,20,74
96,22,79
97,24,84
98,26,88
99,28,92
100,30,96
